"","topics","Griffiths2004","CaoJuan2009","Arun2010","Deveaud2014"
"1",2,-3478611.81191208,0.254249305314563,6602.76554551831,2.0838508596503
"2",3,-3366394.97981478,0.207246771752234,6214.59567451159,2.17643109565873
"3",4,-3283183.02535572,0.16925200478371,5939.24817786143,2.28323298361109
"4",5,-3236960.25284812,0.192819914299213,5769.37424174423,2.24194898912034
"5",6,-3193468.910868,0.173100409077492,5609.80724101229,2.26556207826439
"6",7,-3163269.27325502,0.158611372620541,5455.53293817312,2.25231392539971
"7",8,-3136734.38246327,0.15172067166296,5342.98793373762,2.26515585431239
"8",9,-3117172.15816915,0.148139443370169,5232.45577718476,2.26533371402122
"9",10,-3081201.10738939,0.130451044034603,5127.3579101203,2.29446339621954
"10",11,-3076412.82569003,0.134680572337879,5056.72144056327,2.26735073174584
"11",12,-3041493.22676105,0.113980140352676,4951.59869878956,2.31323974892814
"12",13,-3029976.3012206,0.106511524378888,4874.21700623767,2.32409996538087
"13",14,-3020961.79145484,0.120650539727116,4829.35644606365,2.27227097374046
"14",15,-3005507.13186488,0.107335087950164,4759.86036903771,2.29187770122043
"15",16,-2993804.1342815,0.0999944743189598,4694.58118975036,2.29843369809678
"16",17,-2978557.11802687,0.0977544384135031,4645.22072129567,2.292687983179
"17",18,-2980714.53773727,0.0975487300867114,4598.28420923486,2.27572004362711
"18",19,-2969330.0319611,0.0991900587933888,4560.96149628004,2.25948860934345
"19",20,-2964552.66044723,0.094667295822227,4508.2128540935,2.26260629221001
"20",21,-2948669.87973878,0.0935897601933833,4465.97168596072,2.26060050078729
"21",22,-2949963.12464761,0.0970724817874831,4435.11454075507,2.23258369805334
"22",23,-2937172.34993168,0.0893377355259793,4391.38298551843,2.24401000184987
"23",24,-2934682.14059213,0.0896832754746318,4354.98093760359,2.23049523930736
"24",25,-2924609.41301832,0.0846831658818703,4324.45205923914,2.23740879234069
